Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
PTPRZ1,591.5316018829865,0.0,0.0,True
TPBG,591.116723834065,0.0,0.0,True
ENPP3,591.0311669978631,0.0,0.0,True
DUOXA2,590.704383708949,0.0,0.0,True
DAPK2,590.0426578885921,0.0,0.0,True
SPX,589.6452947217622,0.0,0.0,True
AURKA,589.6082096901724,0.0,0.0,True
GALNT7,589.2580237225225,0.0,0.0,True
GNMT,589.0557347988969,0.0,0.0,True
MTFR2,588.754147436805,0.0,0.0,True
PBX3,588.7393029503247,0.0,0.0,True
ANO7,588.499626242051,0.0,0.0,True
MBOAT2,586.3752174417568,0.0,0.0,True
RNF128,585.5623941877687,0.0,0.0,True
CEACAM5,584.852052683963,0.0,0.0,True
IVL,584.8503917795609,0.0,0.0,True
ATP2B2,583.3318188815094,0.0,0.0,True
RBP5,583.3197212456247,0.0,0.0,True
NCAPG,583.3032308433528,0.0,0.0,True
RERG,583.1524927896187,0.0,0.0,True
KRT17,582.0244108098833,0.0,0.0,True
PRR11,581.8105534958896,0.0,0.0,True
RAD51,581.2839643499634,0.0,0.0,True
ABCG5,579.639834890165,0.0,0.0,True
PDPN,579.4265199555683,0.0,0.0,True
KIF20A,579.3360802628846,0.0,0.0,True
ENPEP,578.6459499064114,0.0,0.0,True
FGF21,578.0646007443389,0.0,0.0,True
DEPDC1,577.0536128200597,0.0,0.0,True
TMPRSS13,576.685878235421,0.0,0.0,True
SLC6A3,576.2916644984141,0.0,0.0,True
CLSPN,576.1433112347733,0.0,0.0,True
PCSK2,575.3372034686405,0.0,0.0,True
EHF,575.3326266186102,0.0,0.0,True
IL20RA,575.0458396513334,0.0,0.0,True
FST,574.2298410013037,0.0,0.0,True
CDCA3,573.969657919346,0.0,0.0,True
UCN2,573.7303303967386,0.0,0.0,True
UBE2T,573.509999209184,0.0,0.0,True
SLC16A12,572.9553953009121,0.0,0.0,True
TTK,572.1491896324768,0.0,0.0,True
LAMC2,571.3463056004933,0.0,0.0,True
F11,571.1939315614735,0.0,0.0,True
AGT,568.0643649183328,0.0,0.0,True
HAO2,567.5504852028988,0.0,0.0,True
CNTN6,566.7183522107875,0.0,0.0,True
TSPAN8,566.534100894174,0.0,0.0,True
TMEM171,566.0742566903507,0.0,0.0,True
CSTA,566.0318520094694,0.0,0.0,True
GSDMC,565.998480544217,0.0,0.0,True
SLC26A4,565.8617084197394,0.0,0.0,True
SCGN,565.7207340969114,0.0,0.0,True
E2F7,565.4019176930977,0.0,0.0,True
IHH,565.3000033337172,0.0,0.0,True
MCM10,565.2440670924191,0.0,0.0,True
FAM83D,564.5019499918349,0.0,0.0,True
CENPI,564.3264696791607,0.0,0.0,True
GNA15,563.9145812795288,0.0,0.0,True
SPC25,563.6598620180233,0.0,0.0,True
SCGB3A2,563.4812794864185,0.0,0.0,True
CENPE,563.2252073658468,0.0,0.0,True
BMAL2,563.190061374118,0.0,0.0,True
ANKRD30A,561.696828360789,0.0,0.0,True
PGLYRP4,560.9656929710297,0.0,0.0,True
SLC10A2,560.6853738439034,0.0,0.0,True
F10,559.9157697021046,0.0,0.0,True
PEBP4,559.4127669832138,0.0,0.0,True
SLC47A1,558.9491064288377,0.0,0.0,True
BIK,558.9455069956431,0.0,0.0,True
TRIM29,558.1126189900706,0.0,0.0,True
MCTP2,557.5992798152479,0.0,0.0,True
